time,acc,throughput
104.642601553,0.1,640.1024163866216
123.629586013,0.1,480.07681228996626
165.623517343,0.10023000000000001,373.39281605488327
422.566786611,0.10020700000000002,1475.5073986254556
426.92175469200004,0.10020630000000003,1229.3335164563616
493.880090829,0.10042567000000002,872.9020186412913
746.068526472,0.10040310300000002,1852.2542500680368
779.147315489,0.10122279270000004,1086.1505324579393
819.146449223,0.10110051343000004,777.44390998797
1078.861206828,0.10099046208700005,952.2515613740397
1084.416863148,0.10202141587830005,796.1685929420321
1144.411037223,0.10181927429047005,584.1210280184521
1398.3479147,0.10417734686142305,1478.005420064809
1402.1924537,0.10551961217528075,1251.0832362928506
1469.67601616,0.10496765095775268,887.3988959755555
1723.663065426,0.10753088586197741,1469.9880949212848
1727.460743183,0.10896779727577968,1247.1244755270072
1794.937998574,0.10807101754820173,884.7581850502233
2053.233809901,0.10726391579338157,982.3509765228193
2060.212400862,0.10974752421404342,811.22669645472
2120.1959939959997,0.10877277179263908,594.1596656686985
2378.462365868,0.11117549461337518,985.4598526802154
2379.7881572119995,0.11380794515203767,973.1038882222342
2385.4671928149996,0.1125471506368339,862.0889668646469
2583.4787029729996,0.11129243557315052,1005.6571174042806
2585.6031276759995,0.11016319201583546,933.9778501752824
2590.7553376419996,0.10914687281425192,836.0561124262331
2789.2202058609996,0.10823218553282674,971.4529356416722
2790.368197253,0.10740896697954408,932.7964037337238
2796.0516166019997,0.10666807028158967,835.2840923130674
